subj_nr	sent_nr	sent_pos	correct	answer_time	word_pos	word	RTfirstfix	RTfirstpass	RTrightbound	RTgopast
1	1	127	-	NaN	1	Anne	216	348	348	348
1	1	127	-	NaN	2	lost	152	152	152	152
1	1	127	-	NaN	3	control	144	144	144	208
1	1	127	-	NaN	4	and	184	412	412	412
1	1	127	-	NaN	5	laughed.	244	316	316	316
1	2	150	c	2106	1	Billy	272	272	272	272
1	2	150	c	2106	2	wrote	160	160	160	160
1	2	150	c	2106	3	on	280	280	280	280
1	2	150	c	2106	4	the	0	0	0	0
1	2	150	c	2106	5	envelope.	264	820	820	820
1	3	18	-	NaN	1	He	112	316	316	316
1	3	18	-	NaN	2	called	144	144	144	144
1	3	18	-	NaN	3	over	272	520	520	520
1	3	18	-	NaN	4	his	0	0	0	0
1	3	18	-	NaN	5	shoulder.	168	168	468	1720
1	4	23	-	NaN	1	He	288	288	288	288
1	4	23	-	NaN	2	stayed	164	164	164	164
1	4	23	-	NaN	3	against	248	376	376	376
1	4	23	-	NaN	4	the	500	500	500	500
1	4	23	-	NaN	5	wall.	72	528	528	528
1	5	39	c	1054	1	Helen	280	280	280	280
1	5	39	c	1054	2	ran	124	404	404	404
1	5	39	c	1054	3	to	0	0	0	0
1	5	39	c	1054	4	the	168	168	168	380
1	5	39	c	1054	5	toilet.	572	572	572	572
1	6	142	-	NaN	1	I	0	0	0	0
1	6	142	-	NaN	2	cannot	256	388	388	388
1	6	142	-	NaN	3	tell	168	168	168	168
1	6	142	-	NaN	4	you	604	604	604	604
1	6	142	-	NaN	5	more.	0	0	0	0
1	7	133	c	3099	1	Michael	280	280	280	280
1	7	133	c	3099	2	gave	176	412	412	412
1	7	133	c	3099	3	Adam	152	152	152	152
1	7	133	c	3099	4	two	400	400	400	400
1	7	133	c	3099	5	pounds.	276	276	276	976
1	8	140	c	1104	1	Roger	292	292	292	292
1	8	140	c	1104	2	smiled	208	208	208	208
1	8	140	c	1104	3	and	272	272	272	272
1	8	140	c	1104	4	sat	188	188	188	188
1	8	140	c	1104	5	down.	444	444	444	444
1	9	89	-	NaN	1	Things	216	328	328	328
1	9	89	-	NaN	2	were	180	180	180	180
1	9	89	-	NaN	3	looking	124	124	124	124
1	9	89	-	NaN	4	up	0	0	0	0
1	9	89	-	NaN	5	again.	164	164	164	376
1	10	47	c	1947	1	This	268	268	268	268
1	10	47	c	1947	2	man's	200	448	448	448
1	10	47	c	1947	3	hair	216	216	216	216
1	10	47	c	1947	4	is	124	124	124	124
1	10	47	c	1947	5	black.	432	432	432	432
1	11	169	c	2114	1	Turn	0	0	0	0
1	11	169	c	2114	2	your	224	224	224	384
1	11	169	c	2114	3	hearing	244	244	244	244
1	11	169	c	2114	4	aid	200	200	468	680
1	11	169	c	2114	5	up.	332	332	332	332
1	12	109	-	NaN	1	You'll	312	312	312	312
1	12	109	-	NaN	2	demand	200	512	512	512
1	12	109	-	NaN	3	nothing	372	372	372	372
1	12	109	-	NaN	4	of	216	216	216	216
1	12	109	-	NaN	5	me.	68	68	68	276
1	13	123	-	NaN	1	A	0	0	0	0
1	13	123	-	NaN	2	horse	224	436	436	436
1	13	123	-	NaN	3	has	252	252	252	252
1	13	123	-	NaN	4	thrown	232	232	232	232
1	13	123	-	NaN	5	a	0	0	0	0
1	13	123	-	NaN	6	shoe.	204	204	468	1212
