subj_nr	sent_nr	gaze_x	gaze_y	fix_duration	letter_pos	word_pos	word	blink
1	1	  90.7	 373.4	216	4	1	Anne	-
1	1	  61.5	 381.6	132	2	1	Anne	-
1	1	 148.4	 381.1	152	8	2	lost	-
1	1	 220.4	 380.8	144	13	3	control	-
1	1	 146.6	 382.2	64	8	2	lost	-
1	1	 332.0	 384.7	184	21	4	and	-
1	1	 300.8	 379.9	228	19	4	and	-
1	1	 388.9	 378.2	244	25	5	laughed.	-
1	1	 437.5	 375.6	72	29	5	laughed.	-
1	2	  66.0	 382.5	272	2	1	Billy	-
1	2	 146.6	 386.7	160	8	2	wrote	-
1	2	 209.8	 389.4	280	13	3	on	-
1	2	 320.4	 396.0	264	21	5	envelope.	-
1	2	 379.0	 394.4	556	25	5	envelope.	-
1	3	  67.0	 374.9	112	2	1	He	-
1	3	  50.2	 370.6	204	1	1	He	-
1	3	 116.3	 372.6	144	6	2	called	-
1	3	 173.0	 372.2	272	10	3	over	-
1	3	 230.4	 373.6	248	14	3	over	-
1	3	 298.9	 377.6	168	19	5	shoulder.	-
1	3	 162.2	 381.5	280	9	2	called	-
1	3	  98.2	 381.0	196	5	2	called	-
1	3	 285.3	 382.1	168	18	4	his	-
1	3	 239.4	 381.6	128	15	4	his	after
1	3	 361.4	 377.0	300	24	5	shoulder.	before
1	3	 201.7	 381.0	144	12	3	over	-
1	3	 171.9	 379.4	140	10	3	over	-
1	3	  68.2	 373.4	196	3	2	called	-
1	4	  43.2	 377.5	288	1	1	He	-
1	4	 104.4	 379.8	164	5	2	stayed	-
1	4	 180.0	 381.9	248	11	3	against	-
1	4	 238.5	 383.9	128	15	3	against	-
1	4	 294.3	 383.3	500	19	4	the	-
1	4	 351.5	 386.0	72	23	5	wall.	-
1	4	 357.3	 415.9	28	23	5	wall.	-
1	4	 365.4	 388.1	428	24	5	wall.	-
1	5	  46.5	 376.8	280	1	1	Helen	-
1	5	 111.1	 382.8	124	6	2	ran	-
1	5	 157.3	 387.8	156	9	2	ran	-
1	5	 145.9	 389.8	124	8	2	ran	-
1	5	 244.5	 394.8	168	15	4	the	-
1	5	 206.3	 395.6	212	12	3	to	-
1	5	 306.8	 390.8	572	20	5	toilet.	-
1	6	  64.3	 380.8	256	2	2	cannot	-
1	6	 101.1	 377.3	132	5	2	cannot	-
1	6	 178.1	 378.2	168	10	3	tell	-
1	6	 242.0	 377.8	604	15	4	you	-
1	7	  52.7	 376.2	280	1	1	Michael	-
1	7	 150.6	 380.0	176	8	2	gave	-
1	7	 203.2	 376.5	236	12	2	gave	-
1	7	 269.3	 379.5	152	17	3	Adam	-
1	7	 317.2	 379.2	400	20	4	two	-
1	7	 383.0	 382.8	276	25	5	pounds.	-
1	7	  91.6	 381.3	304	4	1	Michael	-
1	7	 300.3	 387.2	396	19	4	two	-
1	8	  54.6	 371.7	292	2	1	Roger	-
1	8	 147.9	 376.5	208	8	2	smiled	-
1	8	 237.0	 376.1	272	15	3	and	-
1	8	 291.8	 375.3	188	19	4	sat	-
1	8	 369.8	 376.8	444	24	5	down.	-
1	9	  96.6	 371.6	216	5	1	Things	-
1	9	  66.9	 381.5	112	2	1	Things	-
1	9	 160.3	 386.4	180	9	2	were	-
1	9	 256.0	 387.8	124	16	3	looking	-
1	9	 350.1	 394.5	164	23	5	again.	-
1	9	 328.8	 391.0	212	21	4	up	-
1	10	  40.6	 372.4	268	1	1	This	-
1	10	 120.6	 378.8	200	6	2	man's	-
1	10	 177.3	 379.0	248	10	2	man's	-
1	10	 222.4	 381.6	216	14	3	hair	-
1	10	 286.6	 387.2	124	18	4	is	after
1	10	 306.0	 393.9	432	20	5	black.	before
1	11	 109.5	 390.1	224	6	2	your	-
1	11	  74.4	 397.8	160	3	1	Turn	-
1	11	 177.3	 401.9	244	10	3	hearing	-
1	11	 297.7	 407.0	200	19	4	aid	-
1	11	 179.1	 411.7	212	11	3	hearing	-
1	11	 327.6	 410.6	268	21	4	aid	-
1	11	 372.0	 407.3	332	24	5	up.	-
1	12	  55.7	 385.3	312	2	1	You'll	-
1	12	 136.0	 388.4	200	7	2	demand	-
1	12	 208.2	 390.3	120	13	2	demand	-
1	12	 137.5	 392.8	192	8	2	demand	-
1	12	 259.5	 395.2	372	16	3	nothing	-
1	12	 342.1	 389.2	216	22	4	of	-
1	12	 387.5	 391.6	68	25	5	me.	-
1	12	  99.4	 398.1	208	5	1	You'll	-
1	13	  92.4	 377.7	224	4	2	horse	-
1	13	  79.5	 375.6	212	3	2	horse	-
1	13	 161.7	 376.6	252	9	3	has	-
1	13	 232.5	 373.7	232	14	4	thrown	-
1	13	 326.1	 374.5	204	21	6	shoe.	-
1	13	 264.6	 375.0	392	17	4	thrown	-
1	13	 337.9	 381.5	264	22	6	shoe.	-
1	13	 234.9	 386.0	204	14	4	thrown	-
1	13	  95.7	 389.1	148	5	2	horse	-
1	14	  56.6	 382.9	252	2	2	tube	-
1	14	 105.3	 385.4	188	5	2	tube	-
1	14	 172.3	 389.1	236	10	3	train	-
1	14	 251.3	 389.5	492	16	4	took	-
1	14	 323.4	 393.6	220	21	5	his	-
1	14	 379.2	 397.7	160	25	6	legs.	-
1	14	 157.4	 405.1	168	9	3	train	-
1	15	  72.5	 364.9	416	3	1	Five	-
1	15	 143.1	 376.2	136	8	2	will	-
