subj_nr	age	age_en	monoling	sex	hand	correct
1	33	0	1	f	r	0.9
2	23	0	0	f	r	0.9
3	26	0	1	f	r	0.81818
4	19	0	0	m	r	0.90909
5	24	0	0	f	r	0.83636
6	20	0	0	f	r	0.76364
7	26	0	1	m	r	0.94545
8	35	0	1	m	r	0.90909
9	34	0	1	f	r	0.94737
10	24	0	1	f	r	0.96364
11	24	0	1	f	r	0.93636
12	29	0	0	f	r	0.92727
13	30	0	1	f	l	0.96364
14	31	0	1	m	r	0.9
15	21	0	0	f	r	0.95455
16	25	0	1	m	r	0.94545
17	22	0	0	m	r	0.89474
18	38	0	0	f	r	0.95455
19	30	0	0	f	r	0.91818
20	56	0	1	f	r	0.92727
21	25	3	0	m	r	0.92727
22	21	0	1	m	r	0.89091
23	27	4	0	m	r	0.91818
24	24	0	1	f	r	0.97273
25	21	4	0	f	r	0.85455
26	20	10	0	f	r	0.74545
27	20	0	1	f	r	0.87273
28	23	0	0	f	r	0.83636
29	28	0	1	f	r	0.8
30	17	0	1	f	r	0.82727
31	24	0	0	f	l	0.87273
32	24	0	1	f	r	0.8
33	24	3	0	m	r	0.85455
34	18	0	1	m	l	0.81818
35	25	3	0	m	r	0.77273
36	23	0	0	m	r	0.9
37	21	0	0	f	r	0.91818
38	19	0	1	m	r	0.8
39	23	0	1	m	l	0.89091
40	18	0	0	m	r	0.84545
41	NA	NA	NA	NA	NA	0.94545
42	20	0	0	f	r	0.94545
43	29	0	1	f	r	0.87273
