subj_nr	age	age_en	sex	hand	correct
1	19	0	f	r	0.867647
2	18	2	f	r	0.841121
3	20	10	m	r	0.897059
4	20	3	f	r	0.630952
5	18	12	f	r	0.979592
6	18	3	m	l	0.863636
7	19	0	f	l	0.934211
8	18	0	m	r	0.782609
9	19	0	f	r	0.894737
10	18	0	f	r	0.850000
11	19	0	f	r	0.958333
12	20	0	f	r	0.840000
13	18	0	f	r	0.869863
14	19	7	f	r	0.687500
15	19	0	f	r	0.812903
16	18	0	f	l	0.798165
17	19	0	f	l	0.680723
18	20	10	f	r	0.875000
19	20	15	f	r	0.836066
20	18	0	f	r	0.669725
21	18	0	f	r	0.925926
22	19	3	f	r	0.913043
23	18	3	f	r	0.865979
24	19	0	f	r	0.864865
25	19	6	f	r	0.849462
26	18	0	f	r	0.954545
27	19	8	f	r	0.876923
28	19	8	f	r	0.852941
29	19	0	m	r	0.885057
30	21	0	m	r	0.976744
31	19	3	m	r	0.857143
32	19	0	m	l	0.960784
33	18	2	f	r	0.914894
34	18	3	m	r	0.867925
35	19	0	f	r	0.854839
36	20	3	f	r	0.728395
37	21	11	m	r	0.836364
38	21	0	m	r	0.891026
39	19	7	f	r	0.846154
40	19	9	f	r	0.757895
41	19	0	m	r	0.701220
42	18	2	f	r	0.800000
43	19	0	f	l	0.876404
44	18	0	f	r	0.844828
45	19	0	f	r	0.939394
46	22	10	f	r	0.894737
47	21	10	m	r	0.808824
48	19	9	f	r	0.862745
49	18	12	m	r	0.877551
50	20	0	f	r	0.988235
51	20	2	f	r	0.987805
52	18	0	f	r	0.745283
53	18	0	f	r	0.961165
54	18	0	f	r	0.913978
55	18	0	f	r	0.795699
56	18	0	f	r	0.866667
57	18	3	m	r	0.777778
58	19	1	f	l	0.849057
59	20	0	f	r	0.769231
60	19	0	f	r	0.895349
61	20	0	m	r	0.777778
62	20	0	f	r	0.903614
63	18	0	f	r	0.990291
64	19	3	f	r	0.864583
65	19	3	f	l	0.942857
66	18	0	f	r	0.929293
67	18	5	f	r	0.796748
68	18	0	f	l	0.790123
69	19	0	m	r	0.804054
70	18	0	f	r	0.944444
71	18	2	f	r	0.663866
72	19	0	m	r	0.829787
73	18	0	f	r	0.959459
74	19	0	f	r	0.896552
75	18	3	f	r	0.783784
76	19	0	f	r	0.898551
77	19	4	f	r	0.911392
78	18	10	f	r	0.875000
79	18	0	f	r	0.826446
80	20	0	f	r	0.788462
81	18	0	f	r	0.653543
82	17	5	f	r	0.927835
83	19	0	f	r	0.943396
84	19	0	f	r	0.887850
85	18	5	f	r	0.782609
86	18	0	f	r	0.867550
87	19	0	f	r	0.946667
88	18	8	f	r	0.846154
89	20	0	f	r	0.853659
90	19	4	f	r	0.753846
91	20	10	f	r	0.827160
92	29	0	m	r	0.918239
93	19	0	m	r	0.909910
94	19	3	f	r	0.869565
95	18	0	f	r	0.967742
96	18	0	f	r	0.900000
97	19	0	f	r	0.870690
98	19	0	f	r	0.829630
99	19	0	f	r	0.927711
100	18	4	m	r	0.980583
101	19	0	m	r	0.845161
102	18	0	f	r	0.871795
103	19	0	f	r	0.912500
104	18	0	f	r	0.881188
105	18	0	f	l	0.673333
106	20	16	m	r	0.555556
107	20	0	m	r	0.834951
108	19	0	f	r	0.854839
109	19	0	f	r	0.596026
110	19	8	f	r	0.878378
111	19	6	m	r	0.864865
112	19	0	f	r	0.777778
113	18	1	f	r	0.952830
114	19	0	f	r	0.894737
115	19	0	f	r	0.673913
116	19	0	f	r	0.891304
117	19	6	m	r	0.753968
